,abstract,original title,best title,generated title before RL,generated title after RL
123,"We address fine-grained multilingual language identification: providing a language code for every token in a sentence, including codemixed text containing multiple languages. Such text is prevalent online, in documents, social media, and message boards. We show that a feed-forward network with a simple globally constrained decoder can accurately and rapidly label both codemixed and monolingual text in 100 languages and 100 language pairs. This model outperforms previously published multilingual approaches in terms of both accuracy and speed, yielding an 800x speed-up and a 19.5% averaged absolute gain on three codemixed datasets. It furthermore outperforms several benchmark systems on monolingual language identification.","A Fast, Compact, Accurate Model for Language Identification of Codemixed Text","A Fast, Compact, Accurate Model for Language Identification of Codemixed Text",Fine-Grained Multilingual Language Identification with Feed-Forward Networks,Fine-Grained Multilingual Language Identification with Feed-Forward Networks
124,"We propose a generalized bootstrapping algorithm in which categories are described by relevant seed features. Our method introduces two unsupervised steps that improve the initial categorization step of the bootstrapping scheme: (i) using Latent Semantic space to obtain a generalized similarity measure between instances and features, and (ii) the Gaussian Mixture algorithm, to obtain uniform classification probabilities for unlabeled examples. The algorithm was evaluated on two Text Categorization tasks and obtained state-of-theart performance using only the category names as initial seeds.",Investigating Unsupervised Learning for Text Categorization Bootstrapping,Unsupervised Bootstrapping of Text Categories Using Latent Semantic Space and Gaussian Mixture,Unsupervised Bootstrapping of Text Categories Using Latent Semantic Space and Gaussian Mixture,Unsupervised Bootstrapping with Latent Semantic Space and Gaussian Mixture
125,"Datasets annotated with semantic roles are an important prerequisite to developing highperformance role labeling systems. Unfortunately, the reliance on manual annotations, which are both difficult and highly expensive to produce, presents a major obstacle to the widespread application of these systems across different languages and text genres. In this paper we describe a method for inducing the semantic roles of verbal arguments directly from unannotated text. We formulate the role induction problem as one of detecting alternations and finding a canonical syntactic form for them. Both steps are implemented in a novel probabilistic model, a latent-variable variant of the logistic classifier. Our method increases the purity of the induced role clusters by a wide margin over a strong baseline.",Unsupervised Induction of Semantic Roles,A Probabilistic Model for Semantic Role Induction from Unannotated Text,Semantic Role Induction from Unannotated Text,A Probabilistic Model for Inducing Semantic Roles from Text
126,"In a recent LastWords column (Sproat 2010), Richard Sproat laments the reviewing practices of “general science journals” after dismissing our work and that of Lee, Jonathan, and Ziman (2010) as “useless” and “trivially and demonstrably wrong.” Although we expect such categorical statements to have already raised some red flags in the minds of readers, we take this opportunity to present a more accurate description of our work, point out the straw man argument used in Sproat (2010), and provide a more complete characterization of the Indus script debate. A separate response by Lee and colleagues in this issue provides clarification of issues not covered here.","Commentary and Discussion: Entropy, the Indus Script, and Language: A Reply to R. Sproat","Commentary and Discussion: Entropy, the Indus Script, and Language: A Reply to R. Sproat",Sproat 2010: A Response to the LastWords Columnist,Sproat 2010: A Response to the LastWords Columnist
127,"We take up the scientific question of what determines the preferred order of adjectives in English, in phrases such as big blue box where multiple adjectives modify a following noun. We implement and test four quantitative theories, all of which are theoretically motivated in terms of efficiency in human language production and comprehension. The four theories we test are subjectivity (Scontras et al., 2017), information locality (Futrell, 2019), integration cost (Dyer, 2017), and information gain, which we introduce. We evaluate theories based on their ability to predict orders of unseen adjectives in hand-parsed and automatically-parsed dependency treebanks. We find that subjectivity, information locality, and information gain are all strong predictors, with some evidence for a two-factor account, where subjectivity and information gain reflect a factor involving semantics, and information locality reflects collocational preferences.",What determines the order of adjectives in English? Comparing efficiency-based theories using dependency treebanks,What determines the order of adjectives in English? Comparing efficiency-based theories using dependency treebanks,What determines the order of adjectives in English?,What Makes a Good Adjective?
128,"We describe a new algorithm for computing a Nash equilibrium in graphical games, a compact representation for multi-agent systems that we introduced in previous work. The algorithm is the first to compute equilibria both efficiently and exactly for a non-trivial class of graphical games.","An Efficient, Exact Algorithm for Solving Tree-Structured Graphical Games",A Compact Algorithm for Computing Nash Equilibria in Graphical Games,A Nash Equilibrium Algorithm for Multi-Agent Games,Efficient Nash Equilibria for Graphical Games
129,"We investigate a new optimization problem involving minimizing the Ratio of two Submodular (RS) functions. We argue that this problem occurs naturally in several real world applications. We then show the connection between this problem and several related problems including minimizing the difference between submodular functions (Iyer & Bilmes, 2012b; Narasimhan & Bilmes, 2005), and to submodular optimization subject to submodular constraints (Iyer & Bilmes, 2013). We show that RS optimization can be solved with bounded approximation factors. We also provide a hardness bound and show that our tightest algorithm matches the lower bound up to a log factor. Finally, we empirically demonstrate the performance and good scalability properties of our algorithms.",Algorithms for Optimizing the Ratio of Submodular Functions,Algorithms for Optimizing the Ratio of Submodular Functions,Minimizing the Ratio of Two Submodular Functions,Minimizing the Ratio of Two Submodular Functions
130,"This paper presents a first-order logic learning approach to determine rhetorical relations between discourse segments. Beyond linguistic cues and lexical information, our approach exploits compositional semantics and segment discourse structure data. We report a statistically significant improvement in classifying relations over attribute-value learning paradigms such as Decision Trees, RIPPER and Naive Bayes. For discourse parsing, our modified shift-reduce parsing model that uses our relation classifier significantly outperforms a right-branching majority-class baseline.",An effective Discourse Parser that uses Rich Linguistic Information,An effective Discourse Parser that uses Rich Linguistic Information,A Logic-Based Approach to Discourse Relations Classification,A Logic-Based Approach to Discourse Relation Classification
131,"Website privacy policies represent the single most important source of information for users to gauge how their personal data are collected, used and shared by companies. However, privacy policies are often vague and people struggle to understand the content. Their opaqueness poses a significant challenge to both users and policy regulators. In this paper, we seek to identify vague content in privacy policies. We construct the first corpus of human-annotated vague words and sentences and present empirical studies on automatic vagueness detection. In particular, we investigate context-aware and context-agnostic models for predicting vague words, and explore auxiliary-classifier generative adversarial networks for characterizing sentence vagueness. Our experimental results demonstrate the effectiveness of proposed approaches. Finally, we provide suggestions for resolving vagueness and improving the usability of privacy policies.",Automatic Detection of Vague Words and Sentences in Privacy Policies,Automatic Detection of Vague Words and Sentences in Privacy Policies,Automatic Vagueness Detection in Privacy Policies,Detecting Vagueness in Privacy Policies: A Case Study on the Case of Web Privacy Policies
132,"We study a novel architecture for syntactic SMT. In contrast to the dominant approach in the literature, the system does not rely on translation rules, but treat translation as an unconstrained target sentence generation task, using soft features to capture lexical and syntactic correspondences between the source and target languages. Target syntax features and bilingual translation features are trained consistently in a discriminative model. Experiments using the IWSLT 2010 dataset show that the system achieves BLEU comparable to the state-of-the-art syntactic SMT systems.",Syntactic SMT Using a Discriminative Text Generation Model,Syntactic SMT Using a Discriminative Text Generation Model,Syntactic SMT: Unconstrained Target Sentence Generation with Soft Features,Syntactic SMT with Bilingual Translation
133,"Distant supervision usually utilizes only unlabeled data and existing knowledge bases to learn relation extraction models. However, in some cases a small amount of human labeled data is available. In this paper, we demonstrate how a state-of-theart multi-instance multi-label model can be modified to make use of these reliable sentence-level labels in addition to the relation-level distant supervision from a database. Experiments show that our approach achieves a statistically significant increase of 13.5% in F-score and 37% in area under the precision recall curve.",Infusion of Labeled Data into Distant Supervision for Relation Extraction, Improving Distant Supervision for Relation Extraction,Learning Relation Extraction from Distant Supervision with Multi-Instance Multi-label Models,Learning Relation Extraction from Distant Supervision with Multi-Instance Labels
134,"Information Gain is a well-known and empirically proven method for high-dimensional feature selection. We found that it and other existing methods failed to produce good results on an industrial text classification problem. On investigating the root cause, we find that a large class of feature scoring methods suffers a pitfall: they can be blinded by a surplus of strongly predictive features for some classes, while largely ignoring features needed to discriminate difficult classes. In this paper we demonstrate this pitfall hurts performance even for a relatively uniform text classification task. Based on this understanding, we present solutions inspired by round-robin scheduling that avoid this pitfall, without resorting to costly wrapper methods. Empirical evaluation on 19 datasets shows substantial improvements.",A Pitfall and Solution in Multi-Class Feature Selection for Text Classification ,A Pitfall and Solution in Multi-Class Feature Selection for Text Classification ,Information Gain: A Pitfall-Based Approach to Text Classification,Information Gain and Round-robin Scheduling for Text Classification
135,"Knowledge bases are useful resources for many natural language processing tasks, however, they are far from complete. In this paper, we define a novel entity representation as a mixture of its neighborhood in the knowledge base and apply this technique on TransE—a well-known embedding model for knowledge base completion. Experimental results show that the neighborhood information significantly helps to improve the results of the TransE, leading to better performance than obtained by other state-of-the-art embedding models on three benchmark datasets for triple classification, entity prediction and relation prediction tasks.",Neighborhood Mixture Model for Knowledge Base Completion,Neighborhood Mixture Model for Knowledge Base Completion,Neighborhood Information for Knowledge Base Completion,Neighborhood Information for Knowledge Base Completion
136,"Interacting with relational databases through natural language helps users with any background easily query and analyze a vast amount of data. This requires a system that understands users' questions and converts them to SQL queries automatically. In this paper, we present a novel approach TypeSQL which formats the problem as a slot filling task in a more reasonable way. In addition, TypeSQL utilizes type information to better understand rare entities and numbers in the questions. We experiment this idea on the WikiSQL dataset and outperform the prior art by 6% in much shorter time. We also show that accessing the content of databases can significantly improve the performance when users' queries are not well-formed. TypeSQL can reach 82.6% accuracy, a 17.5% absolute improvement compared to the previous content-sensitive model.",TypeSQL: Knowledge-Based Type-Aware Neural Text-to-SQL Generation,TypeSQL: A Slot Filling Approach to Interacting with Relational Databases,TypeSQL: A Slot Filling Task for Natural Language Queries,TypeSQL: A Slot Filling Task for Natural Language Queries
137,"Constituent parsing is typically modeled by a chart-based algorithm under probabilistic context-free grammars or by a transition-based algorithm with rich features. Previous models rely heavily on richer syntactic information through lexicalizing rules, splitting categories, or memorizing long histories. However enriched models incur numerous parameters and sparsity issues, and are insufficient for capturing various syntactic phenomena. We propose a neural network structure that explicitly models the unbounded history of actions performed on the stack and queue employed in transition-based parsing, in addition to the representations of partially parsed tree structure. Our transition-based neural constituent parsing achieves performance comparable to the state-of-the-art parsers, demonstrating F1 score of 90.68% for English and 84.33% for Chinese, without reranking, feature templates or additional data to train model parameters.",Transition-based Neural Constituent Parsing,Transition-based Neural Constituent Parsing,Transition-based Neural Constituent Parsing with Neural Networks,Transition-Based Neural Constituent Parsing
138,"Distributed stochastic gradient descent is an important subroutine in distributed learning. A setting of particular interest is when the clients are mobile devices, where two important concerns are communication efficiency and the privacy of the clients. Several recent works have focused on reducing the communication cost or introducing privacy guarantees, but none of the proposed communication efficient methods are known to be privacy preserving and none of the known privacy mechanisms are known to be communication efficient. To this end, we study algorithms that achieve both communication efficiency and differential privacy. For d variables and n ⇡ d clients, the proposed method uses O(log log(nd)) bits of communication per client per coordinate and ensures constant privacy. We also improve previous analysis of the Binomial mechanism showing that it achieves nearly the same utility as the Gaussian mechanism, while requiring fewer representation bits, which can be of independent interest.",cpSGD: Communication-efficient and differentially-private distributed SGD,Communication Efficiency and Differential Privacy for Distributed Stochastic Gradient Descent,Communication and Privacy in Distributed Gradient Descent,Communication-Privacy Interactions in Distributed Gradient Descent
139,"At AAAI’07, Zinkevich, Bowling and Burch introduced the Range of Skill measure of a two-player game and used it as a parameter in the analysis of the running time of an algorithm for finding approximate solutions to such games. They suggested that the Range of Skill of a typical natural game is a small number, but only gave heuristic arguments for this. In this paper, we provide the first methods for rigorously estimating the Range of Skill of a given game. We provide some general, asymptotic bounds that imply that the Range of Skill of a perfectly balanced game tree is almost exponential in its size (and doubly exponential in its depth). We also provide techniques that yield concrete bounds for unbalanced game trees and apply these to estimate the Range of Skill of Tic-Tac-Toe and Heads-Up Limit Texas Hold’em Poker. In particular, we show that the Range of Skill of Tic-Tac-Toe is more than 100,000.",On Range of Skill,Estimating the Range of Skill of a Natural Game Tree,Estimating the Range of Skill of a Natural Game,Estimating the Range of Skill of Games
