,abstract,human_title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
170,"We present a novel response generation system that can be trained end to end on large quantities of unstructured Twitter conversations. A neural network architecture is used to address sparsity issues that arise when integrating contextual information into classic statistical models, allowing the system to take into account previous dialog utterances. Our dynamic-context generative models show consistent gains over both context-sensitive and non-context-sensitive Machine Translation and Information Retrieval baselines.",A Neural Network Approach to Context-Sensitive Generation of Conversational Responses,,Dynamic-Context Generative Models for Unstructured Twitter Conversations with Context-sensitive Machine Translation and Information Retrieval Systems,Learning to Generate Responses from Twitter Conversations,Neural Response Generation for Unstructured Twitter Conversations,End-to-End Response Generation with Neural Networks,Dynamic-Context Generative Models for End-to-End Neural Response Generation
171,"Linking pronominal expressions to the correct references requires, in many cases, better analysis of the contextual information and external knowledge. In this paper, we propose a two-layer model for pronoun coreference resolution that leverages both context and external knowledge, where a knowledge attention mechanism is designed to ensure the model leveraging the appropriate source of external knowledge based on different context. Experimental results demonstrate the validity and effectiveness of our model, where it outperforms state-of-the-art models by a large margin.",Incorporating Context and External Knowledge for Pronoun Coreference Resolution,,A Two-Layer Model for Pronoun Coreference Resolution Based on External Knowledge and Contextual Information Leveraging Context and External,A Two-Layer Model for Pronoun Coreference Resolution with Knowledge Attention,A Two-layer Pronoun Coreference Resolution with Knowledge Attention,A Two-Layer Model for Pronominal Expressions,A Two-Layer Model for Pronoun Coreference Resolution with Context and External Knowledge
172,"In this paper, we propose new methods to learn Chinese word representations. Chinese characters are composed of graphical components, which carry rich semantics. It is common for a Chinese learner to comprehend the meaning of a word from these graphical components. As a result, we propose models that enhance word representations by character glyphs. The character glyph features are directly learned from the bitmaps of characters by convolutional auto-encoder(convAE), and the glyph features improve Chinese word representations which are already enhanced by character embeddings. Another contribution in this paper is that we created several evaluation datasets in traditional Chinese and made them public.",Learning Chinese Word Representations From Glyphs Of Characters,Learning Chinese Word Representations by Character G glyphs,,Learning Chinese Word Representations with Character Glyphs,Learning Chinese Word Representations by Character Glyphens,Learning Chinese Word Representations with Character Glyphs,Convolutional Auto-encoder for Chinese Word Representations
173,"Building models for realistic natural language tasks requires dealing with long texts and accounting for complicated structural dependencies. Neural-symbolic representations have emerged as a way to combine the reasoning capabilities of symbolic methods, with the expressiveness of neural networks. However, most of the existing frameworks for combining neural and symbolic representations have been designed for classic relational learning tasks that work over a universe of symbolic entities and relations. In this paper, we present DRaiL, an open-source declarative framework for specifying deep relational models, designed to support a variety of NLP scenarios. Our framework supports easy integration with expressive language encoders, and provides an interface to study the interactions between representation, inference and learning.",Modeling Content and Context with Deep Relational Learning,DRaiL: A Deep Relational Model for Natural Language Processing,DRaiL: An Open-Source Declarative Framework for Deep Relational Modeling with Symbolic and Symbolic Represent,DRaiL: A Deep Relational Modeling Framework for Natural Language Processing,,DRaiL: Deep Relational Models for Natural Language Tasks,DRaiL: An Open-Source Declarative Framework for Combining Symbolic and Neural Models
174,"Abstract Meaning Representation (AMR) research has mostly focused on English. We show that it is possible to use AMR annotations for English as a semantic representation for sentences written in other languages. We exploit an AMR parser for English and parallel corpora to learn AMR parsers for Italian, Spanish, German and Chinese. Qualitative analysis show that the new parsers overcome structural differences between the languages. We further propose a method to evaluate the parsers that does not require gold standard data in the target languages. This method highly correlates with the gold standard evaluation, obtaining a Pearson correlation coefficient of 0.95.",Cross-Lingual Abstract Meaning Representation Parsing,Improving AMR Parsing for English and Parallel Corpora Using AMR Annotations,AMR Parsing for English and Parallel Corpora: A Qualitative Analysis of the Role of AMR Parsers in AM,Learning AMR Parsers for Languages Other than English,,Learning Semantic Parsers for English Using Parallel Corpora,Learning Abstract Meaning Representations for Sentences Written in Other Languages
175,"In this paper, we propose a novel pretraining-based encoder-decoder framework, which can generate the output sequence based on the input sequence in a two-stage manner. For the encoder of our model, we encode the input sequence into context representations using BERT. For the decoder, there are two stages in our model, in the first stage, we use a Transformer-based decoder to generate a draft output sequence. In the second stage, we mask each word of the draft sequence and feed it to BERT, then by combining the input sequence and the draft representation generated by BERT, we use a Transformer-based decoder to predict the refined word for each masked position. To the best of our knowledge, our approach is the first method which applies the BERT into text generation tasks. As the first step in this direction, we evaluate our proposed method on the text summarization task. Experimental results show that our model achieves new state-of-the-art on both CNN/Daily Mail and New York Times datasets.",Pretraining-Based Natural Language Generation for Text Summarization,Pretraining-based Encoder-Decoder for Text Summarization,Pretraining-based Encoder-decoder for Textual Summarization Using Transformer-based Neural Network Representation,,Pretraining-based encoder-decoder framework for text generation,Towards Text Generation with Pretraining-Based Encoders,A Two-Stage Pretraining-Based Transformer-based Sequence Generation Method
176,"Argument mining is a core technology for automating argument search in large document collections. Despite its usefulness for this task, most current approaches are designed for use only with specific text types and fall short when applied to heterogeneous texts. In this paper, we propose a new sentential annotation scheme that is reliably applicable by crowd workers to arbitrary Web texts. We source annotations for over 25,000 instances covering eight controversial topics. We show that integrating topic information into bidirectional long short-term memory networks outperforms vanilla BiLSTMs by more than 3 percentage points in F1 in two- and three-label cross-topic settings. We also show that these results can be further improved by leveraging additional data for topic relevance using multi-task learning.",Cross-topic Argument Mining from Heterogeneous Sources,Argument Mining for Web Texts with Topic Relevance,Sentential Annotation for Argument Mining on Web Texts Using Multi-Task Learning and Bidirectional Long Short-Term Memory,,Sentential Annotation for Argument Mining in Web Texts,Sentential Annotation of Web Texts,Sentential Argument Mining for Heterogeneous Web Texts
177,"Text-based games present a unique challenge for autonomous agents to operate in natural language and handle enormous action spaces. In this paper, we propose the Contextual Action Language Model (CALM) to generate a compact set of action candidates at each game state. Our key insight is to train language models on human gameplay, where people demonstrate linguistic priors and a general game sense for promising actions conditioned on game history. We combine CALM with a reinforcement learning agent which re-ranks the generated action candidates to maximize in-game rewards. We evaluate our approach using the Jericho benchmark, on games unseen by CALM during training. Our method obtains a 69% relative improvement in average game score over the previous state-of-the-art model. Surprisingly, on half of these games, CALM is competitive with or better than other models that have access to ground truth admissible actions. Code and data are available at https://github.com/princeton-nlp/calm-textgame.",Keep CALM and Explore: Language Models for Action Generation in Text-based Games,,CALM: A Contextual Action Language Model for Text-Based Games in Natural Language and Social Media Using Reinforcement Learning,CALM: Contextual Action Language Model for Text-based Games,Contextual Action Language Models for Text-based Games,Contextual Action Language Model,Contextual Action Language Model for Text-Based Games
178,"Spectral clustering is one of the most popular clustering approaches. Despite its good performance, it is limited in its applicability to large-scale problems due to its high computational complexity. Recently, many approaches have been proposed to accelerate the spectral clustering. Unfortunately, these methods usually sacrifice quite a lot information of the original data, thus result in a degradation of performance. In this paper, we propose a novel approach, called Landmark-based Spectral Clustering (LSC), for large scale clustering problems. Specifically, we select p ( n) representative data points as the landmarks and represent the original data points as the linear combinations of these landmarks. The spectral embedding of the data can then be efficiently computed with the landmark-based representation. The proposed algorithm scales linearly with the problem size. Extensive experiments show the effectiveness and efficiency of our approach comparing to the state-of-the-art methods.",Large Scale Spectral Clustering with Landmark-Based Representation,Landmark-based Spectral Clustering for Large Scale Problems,Landmark-based Spectral Clustering: Landmark-Based Representation and Algorithm for Large-Scale Clust,Landmark-based Spectral Clustering for Large-Scale Problem Resolution,Landmark-based Spectral Clustering for Large Scale Clustering,Landmark-based Spectral Clustering for Large Scale Clustering,
179,We develop a scalable deep non-parametric generative model by augmenting deep Gaussian processes with a recognition model. Inference is performed in a novel scalable variational framework where the variational posterior distributions are reparametrized through a multilayer perceptron. The key aspect of this reformulation is that it prevents the proliferation of variational parameters which otherwise grow linearly in proportion to the sample size. We derive a new formulation of the variational lower bound that allows us to distribute most of the computation in a way that enables to handle datasets of the size of mainstream deep learning tasks. We show the efficacy of the method on a variety of challenges including deep unsupervised learning and deep Bayesian optimization.,Variational Auto-encoded Deep Gaussian Processes,,A Scalable Variational Model for Deep Gaussian Processes with a Multilayer Perceptron Reparametrized,Scalable Deep Non-parametric Generative Models via Multilayer Perceptron Reparametrizing,Scalable Deep Non-parametric Generative Models,Deep Nonparametric Generative Models,Scaling Non-Parametric Generative Models
180,Most of the current automated essay scoring (AES) systems are trained using manually graded essays from a specific prompt. These systems experience a drop in accuracy when used to grade an essay from a different prompt. Obtaining a large number of manually graded essays each time a new prompt is introduced is costly and not viable. We propose domain adaptation as a solution to adapt an AES system from an initial prompt to a new prompt. We also propose a novel domain adaptation technique that uses Bayesian linear ridge regression. We evaluate our domain adaptation technique on the publicly available Automated Student Assessment Prize (ASAP) dataset and show that our proposed technique is a competitive default domain adaptation algorithm for the AES task.,Flexible Domain Adaptation for Automated Essay Scoring Using Correlated Linear Regression,Domain Adaptation for Automated Essay Scoring,Domain Adaptation for Automated Essay Scoring Using Bayesian Linear-Ridge Regression using Domain Adaptation and Domain,Domain Adaptation for Automated Essay Scoring,Domain Adaptation for Automated Essay Scoring,Domain Adaptation for Automatic Essay Scoring,
181,"Evidence-based medicine is an approach whereby clinical decisions are supported by the best available findings gained from scientific research. This requires efficient access to such evidence. To this end, abstracts in evidence-based medicine can be labeled using a set of predefined medical categories, the socalled PICO criteria. This paper presents an approach to automatically annotate sentences in medical abstracts with these labels. Since both structural and sequential information are important for this classification task, we use kLog, a new language for statistical relational learning with kernels. Our results show a clear improvement with respect to state-of-the-art systems.",A Statistical Relational Learning Approach to Identifying Evidence Based Medicine Categories,Automatic Labeling of Medical Abstracts in Evidence-Based medicine,Automatic Classification of Evidence-Based Medical Abstracts Using PICO Criteria and Statistical Relational Learning with Kernels for Clinical,Automatic Classification of Abstracts in Evidence-Based Medicine Using kLog,Automatic Annotation of Sentences in Evidence-Based Medicine,,Classification of Medical Abstracts Using k-Log Kernels
182,"We present KB-UNIFY, a novel approach for integrating the output of different Open Information Extraction systems into a single unified and fully disambiguated knowledge repository. KB-UNIFY consists of three main steps: (1) disambiguation of relation argument pairs via a sensebased vector representation and a large unified sense inventory; (2) ranking of semantic relations according to their degree of specificity; (3) cross-resource relation alignment and merging based on the semantic similarity of domains and ranges. We tested KB-UNIFY on a set of four heterogeneous knowledge bases, obtaining high-quality results. We discuss and provide evaluations at each stage, and release output and evaluation data for the use and scrutiny of the community1.",Knowledge Base Unification via Sense Embeddings and Disambiguation,KB-UNIFY: A Unified and Fully Disambiguated Knowledge Base for Open Information Extraction,KB-UNIFY: Jointly Disambiguating Relation Argument Pairs and Sense-Based Representations for Open Information,KB-UNIFY: Unified Disambiguation and Alignment of Heterogeneous Knowledge Bases,KB-UNIFY: Unified and Fully Disambiguated Knowledge Repository for Open Information Extraction,,KB-UN: Integrating Open Information Extraction Systems into a Unified Knowledge Repository
183,"We introduce a novel precedence reordering approach based on a dependency parser to statistical machine translation systems. Similar to other preprocessing reordering approaches, our method can efficiently incorporate linguistic knowledge into SMT systems without increasing the complexity of decoding. For a set of five subject-object-verb (SOV) order languages, we show significant improvements in BLEU scores when translating from English, compared to other reordering approaches, in state-of-the-art phrase-based SMT systems.",Using a Dependency Parser to Improve SMT for Subject-Object-Verb Languages,A Dependency Parser for Statistical Machine Translation,Precedence Reordering Based on a Dependency Parser for Statistical Machine Translation of Subject-Object-Verb Ordering,A Dependency Parser for Pre-processing Reordering in Statistical Machine Translation,Dependency Parsing for Preprocessing Preprocessing Statistical Machine Translation Systems,Parse-Based Preference Reordering for Statistical Machine Translation,
184,"Recently research has started focusing on avoiding undesired effects that come with content moderation, such as censorship and overblocking, when dealing with hatred online. The core idea is to directly intervene in the discussion with textual responses that are meant to counter the hate content and prevent it from further spreading. Accordingly, automation strategies, such as natural language generation, are beginning to be investigated. Still, they suffer from the lack of sufficient amount of quality data and tend to produce generic/repetitive responses. Being aware of the aforementioned limitations, we present a study on how to collect responses to hate effectively, employing large scale unsupervised language models such as GPT-2 for the generation of silver data, and the best annotation strategies/neural architectures that can be used for data filtering before expert validation/post-editing.",Generating Counter Narratives against Online Hate Speech: Data and Strategies,Collecting Responses to Hate with Unsupervised Language Models,Automation Strategies to Collect Responses to Hate in Online Discussions: An Empirical Study of the Role of Content Moder,Collecting Responses to Hate: A Case Study on Unsupervised Generation of Textual Response to Hateful Content,Using Textual Responses to Hass in Online Discussion,,Collecting Responses to Hate on Social Media
185,"Most real-world document collections involve various types of metadata, such as author, source, and date, and yet the most commonly-used approaches to modeling text corpora ignore this information. While specialized models have been developed for particular applications, few are widely used in practice, as customization typically requires derivation of a custom inference algorithm. In this paper, we build on recent advances in variational inference methods and propose a general neural framework, based on topic models, to enable flexible incorporation of metadata and allow for rapid exploration of alternative models. Our approach achieves strong performance, with a manageable tradeoff between perplexity, coherence, and sparsity. Finally, we demonstrate the potential of our framework through an exploration of a corpus of articles about US immigration.",Neural Models for Documents with Metadata,Variational Inference of Text Corpora with Topic Models,Neural Variational Inference for Document Collection Modelling with Topic Models: An Exploration of US News Articles about US Immigration Data,Modeling Text Corpora with Topic Models and Variational Inference,Variational Inference for Text Corpora Modeling,,Topic Models for Text Corpora with Metadata
186,"While unsupervised anaphoric zero pronoun (AZP) resolvers have recently been shown to rival their supervised counterparts in performance, it is relatively difficult to scale them up to reach the next level of performance due to the large amount of feature engineering efforts involved and their ineffectiveness in exploiting lexical features. To address these weaknesses, we propose a supervised approach to AZP resolution based on deep neural networks, taking advantage of their ability to learn useful task-specific representations and effectively exploit lexical features via word embeddings. Our approach achieves stateof-the-art performance when resolving the Chinese AZPs in the OntoNotes corpus.",Chinese Zero Pronoun Resolution with Deep Neural Networks,,Supervised Zero Pronoun Resolution with Deep Lexical Features and Word Embeddings via Word Representation Leveraging Neural Networks,Supervised Anaphoric Zero Pronoun Resolution with Deep Neural Networks,Supervised Zero Pronoun Resolution with Deep Neural Networks,Unsupervised Anaphoric Zero Pronoun Resolution with Deep Neural Networks,Supervised Anaphoric Zero Pronoun Resolution with Neural Networks
187,"Abstractive document summarization is a comprehensive task including document understanding and summary generation, in which area Transformer-based models have achieved the state-of-the-art performance. Compared with Transformers, topic models are better at learning explicit document semantics, and hence could be integrated into Transformers to further boost their performance. To this end, we rearrange and explore the semantics learned by a topic model, and then propose a topic assistant (TA) including three modules. TA is compatible with various Transformer-based models and user-friendly since i) TA is a plug-and-play model that does not break any structure of the original Transformer network, making users easily fine-tune Transformer+TA based on a well pre-trained model; ii) TA only introduces a small number of extra parameters. Experimental results on three datasets demonstrate that TA is able to improve the performance of several Transformer-based models.",Friendly Topic Assistant for Transformer Based Abstractive Summarization,Transformer-Based Abstractive Document Summarization with Topic Assistant,Topic Assistant for Transformer Summarization: A Plug-and-play Model and a Task-Oriented Topic Assistant,Topic Assistant: A Plug-and-Play Topic Model for Abstractive Document Summarization,,A Topic Assistant for Abstractive Document Summarization,Topic Assistant: A Plug-and-play Transformer for Abstractive Document Summarization
188,We use SVM classifiers to predict the next action of a deterministic parser that builds labeled projective dependency graphs in an incremental fashion. Non-projective dependencies are captured indirectly by projectivizing the training data for the classifiers and applying an inverse transformation to the output of the parser. We present evaluation results and an error analysis focusing on Swedish and Turkish.,Labeled Pseudo-Projective Dependency Parsing with Support Vector Machines,Predicting the Next Action of a Deterministic Parser using SVM Classifiers,,Projective Dependency Parsing with SVM Classifiers.,SVM Classifiers for Deterministic Parsing,Non-Projective Dependency Parsing with Projectivization,Predicting the Next Action of a Deterministic Parser using SVMs
189,"We present a novel approach to efficiently learn a label tree for large scale classification with many classes. The key contribution of the approach is a technique to simultaneously determine the structure of the tree and learn the classifiers for each node in the tree. This approach also allows fine grained control over the efficiency vs accuracy trade-off in designing a label tree, leading to more balanced trees. Experiments are performed on large scale image classification with 10184 classes and 9 million images. We demonstrate significant improvements in test accuracy and efficiency with less training time and more balanced trees compared to the previous state of the art by Bengio et al.",Fast and Balanced: Efficient Label Tree Learning for Large Scale Object Recognition,Learning Label Trees for Large Scale Image Classification with Many Classes,Efficient Learning of Label Trees for Large Scale Classification with Many Classifiers and More Balanced Tree Structure Tasks. A Case Study,,Learning Label Trees for Large Scale Image Classification,Learning Label Trees for Large Scale Classification,Learning a Label Tree for Large Scale Image Classification
190,"As a crucial step in extractive document summarization, learning cross-sentence relations has been explored by a plethora of approaches. An intuitive way is to put them in the graph-based neural network, which has a more complex structure for capturing inter-sentence relationships. In this paper, we present a heterogeneous graph-based neural network for extractive summarization (HETERSUMGRAPH), which contains semantic nodes of different granularity levels apart from sentences. These additional nodes act as the intermediary between sentences and enrich the cross-sentence relations. Besides, our graph structure is flexible in natural extension from a single-document setting to multi-document via introducing document nodes. To our knowledge, we are the first one to introduce different types of nodes into graph-based neural networks for extractive document summarization and perform a comprehensive qualitative analysis to investigate their benefits. The code will be released on Github.",Heterogeneous Graph Neural Networks for Extractive Document Summarization,,HETERSUMGRAPH: Heterogeneous Graph-based Neural Network for Extractive Document Summarization with Cross-,HETERSUMGRAPH: A Heterogeneous Graph-based Neural Network for Extractive Document Summarization,Heterogeneous Graph-Based Neural Network for Extractive Document Summarization,Heterogeneous Graph-based Neural Network for Extractive Document Summarization,Heterogeneous Graph-based Neural Network for Extractive Document Summarization
191,"Activities and events in our lives are structural, be it a vacation, a camping trip, or a wedding. While individual details vary, there are characteristic patterns that are specific to each of these scenarios. For example, a wedding typically consists of a sequence of events such as walking down the aisle, exchanging vows, and dancing. In this paper, we present a data-driven approach to learning event knowledge from a large collection of photo albums. We formulate the task as constrained optimization to induce the prototypical temporal structure of an event, integrating both visual and textual cues. Comprehensive evaluation demonstrates that it is possible to learn multimodal knowledge of event structure from noisy web content.",Learning Prototypical Event Structure from Photo Albums,Learning Multimodal Event Structure from Noisy Web Content,,Learning Temporally Structured Events from Large-Scale Photo Albums,Learning Event Structure from Large Collection of Photo Albums,Learning Event Knowledge from Photograph Albums,Learning Multimodal Knowledge of Event Structure from Photo Album Collections
192,"In contrast to the standard classification paradigm where the true class is given to each training pattern, complementary-label learning only uses training patterns each equipped with a complementary label, which only specifies one of the classes that the pattern does not belong to. The goal of this paper is to derive a novel framework of complementary-label learning with an unbiased estimator of the classification risk, for arbitrary losses and models—all existing methods have failed to achieve this goal. Not only is this beneficial for the learning stage, it also makes model/hyper-parameter selection (through crossvalidation) possible without the need of any ordinarily labeled validation data, while using any linear/non-linear models or convex/non-convex loss functions. We further improve the risk estimator by a non-negative correction and gradient ascent trick, and demonstrate its superiority through experiments.",Complementary-Label Learning for Arbitrary Losses and Models,Non-negative Correction and Gradient Ascent for Non-negative Classification,Combining Training and Cross-Validation with Unbiased Estimation of the Classification Risk: A Case Study on Complementary,An Unbiased Risk Estimation for Complementary-Label Learning,Comparative-Label Learning with a Non-negative Correction and Gradient Ascent,,Cross-validation of complementary-label learning with an unbiased risk estimator
193,"Sequence-to-sequence (seq2seq) models have achieved tremendous success in text generation tasks. However, there is no guarantee that they can always generate sentences without grammatical errors. In this paper, we present a preliminary empirical study on whether and how much automatic grammatical error correction can help improve seq2seq text generation. We conduct experiments across various seq2seq text generation tasks including machine translation, formality style transfer, sentence compression and simplification. Experiments show the state-of-the-art grammatical error correction system can improve the grammaticality of generated text and can bring task-oriented improvements in the tasks where target sentences are in a formal style.",Automatic Grammatical Error Correction for Sequence-to-sequence Text Generation: An Empirical Study,How much Grammatical Error Correction Can Improve Sequence-to-Sequence Text Generation?,Improving Text Generation via Grammatical Error Correction and Task-Oriented Generation of Sentences without Grammatical Errors Using Se,,Automatic Grammatical Error Correction for Seq2seq Text Generation,Improving Text Generation with Grammatical Error Correction,Empirical Study on Grammatical Error Correction for Sequence-to-Sequence Generation
194,"Analogical reasoning is effective in capturing linguistic regularities. This paper proposes an analogical reasoning task on Chinese. After delving into Chinese lexical knowledge, we sketch 68 implicit morphological relations and 28 explicit semantic relations. A big and balanced dataset CA8 is then built for this task, including 17813 questions. Furthermore, we systematically explore the influences of vector representations, context features, and corpora on analogical reasoning. With the experiments, CA8 is proved to be a reliable benchmark for evaluating Chinese word embeddings.",Analogical Reasoning on Chinese Morphological and Semantic Relations,,An Analogical Reasoning Task-Oriented Chinese Word Embeddings with Implicit Morphological and Explicit Semantic Relations,Analogical Reasoning in Chinese: A Case Study on Morphological and Semantic Relations,An Analogical Reasoning Task on Chinese,Chinese Analogical Reasoning with Vector Representations and Context Features,CA8: An Analogical Collocation Task on Chinese
195,"Conditional masked language model (CMLM) training has proven successful for non-autoregressive and semi-autoregressive sequence generation tasks, such as machine translation. Given a trained CMLM, however, it is not clear what the best inference strategy is. We formulate masked inference as a factorization of conditional probabilities of partial sequences, show that this does not harm performance, and investigate a number of simple heuristics motivated by this perspective. We identify a thresholding strategy that has advantages over the standard ""mask-predict"" algorithm, and provide analyses of its behavior on machine translation tasks.",Inference Strategies for Machine Translation with Conditional Masking,Tresholding Conditional Masked Language Model Training for Machine Translation,A Thresholding Approach to Conditional Masked Language Modeling for Semi-Autoregressive Sequence Generation with Conditional In,Conditional Masked Language Modeling for Non-Autoregressive Sequence Generation,Conditional Masked Language Model Training for Machine Translation,,Masked Inference for Non-Autoregressive Sequence Generation.
196,"We investigate prototype-driven learning for primarily unsupervised sequence modeling. Prior knowledge is specified declaratively, by providing a few canonical examples of each target annotation label. This sparse prototype information is then propagated across a corpus using distributional similarity features in a log-linear generative model. On part-of-speech induction in English and Chinese, as well as an information extraction task, prototype features provide substantial error rate reductions over competitive baselines and outperform previous work. For example, we can achieve an English part-of-speech tagging accuracy of 80.5% using only three examples of each tag and no dictionary constraints. We also compare to semi-supervised learning and discuss the system’s error trends.",Prototype-Driven Learning for Sequence Models,Posterior-Driven Learning for Unsupervised Sequence Models,,Prototype-Driven Unsupervised Sequence Modeling with Distributional Similarity Features,Prototype-Driven Learning for primarily Unsupervised Sequence Modeling,Speeding Up Prototype-Driven Learning for Unsupervised Sequence Modeling,Prototype-Driven Learning for Unsupervised Sequence Modeling
197,"Different languages might have different word orders. In this paper, we investigate crosslingual transfer and posit that an orderagnostic model will perform better when transferring to distant foreign languages. To test our hypothesis, we train dependency parsers on an English corpus and evaluate their transfer performance on 30 other languages. Specifically, we compare encoders and decoders based on Recurrent Neural Networks (RNNs) and modified self-attentive architectures. The former relies on sequential information while the latter is more flexible at modeling word order. Rigorous experiments and detailed analysis shows that RNN-based architectures transfer well to languages that are close to English, while self-attentive models have better overall cross-lingual transferability and perform especially well on distant languages.",On Difficulties of Cross-Lingual Transfer with Order Differences: A Case Study on Dependency Parsing,Cross-Lingual Transfer and Self-Attentive Models,Cross-Lingual Transfer of Order-Agnostic Dependency Parsers with Recurrent Neural Networks and Modified Self-,Cross-Lingual Transferability of Dependency Parsers with Self-Attentive and RNNs,,Cross-Lingual Transfer and Perturbation of Dependency Parsers,Dependency-Based Cross-Lingual Transfer: An Order Agnostic Approach
198,"We examine the Bayes-consistency of a recently proposed 1-nearest-neighbor-based multiclass learning algorithm. This algorithm is derived from sample compression bounds and enjoys the statistical advantages of tight, fully empirical generalization bounds, as well as the algorithmic advantages of a faster runtime and memory savings. We prove that this algorithm is strongly Bayes-consistent in metric spaces with finite doubling dimension — the first consistency result for an efficient nearest-neighbor sample compression scheme. Rather surprisingly, we discover that this algorithm continues to be Bayes-consistent even in a certain infinitedimensional setting, in which the basic measure-theoretic conditions on which classic consistency proofs hinge are violated. This is all the more surprising, since it is known that k-NN is not Bayes-consistent in this setting. We pose several challenging open problems for future research.",Beyond Convexity: Stochastic Quasi-Convex Optimization,The Bayes-Consistency of Multiclass Learning.,Bayes-Consistency of 1-Nearest Neighbor-based Multiclass Learning with Application to Measure-theoret,Bayes-Consistency of 1-Nearest-Neighbor Sample Compression for Multiclass Learning,Bayes-consistency of a 1-nearest-neighbor-based multiclass learning algorithm,Bayes-Consistency of Multiclass Learning,
199,"Supervised learning is difficult with high dimensional input spaces and very small training sets, but accurate classification may be possible if the data lie on a low-dimensional manifold. Gaussian Process Latent Variable Models can discover low dimensional manifolds given only a small number of examples, but learn a latent space without regard for class labels. Existing methods for discriminative manifold learning (e.g., LDA, GDA) do constrain the class distribution in the latent space, but are generally deterministic and may not generalize well with limited training data. We introduce a method for Gaussian Process Classification using latent variable models trained with discriminative priors over the latent space, which can learn a discriminative latent space from a small training set.",Discriminative Gaussian Process Latent Variable Models for Classification,,Discriminative Manifold Learning with Gaussian Process Priors over the Latent Space for Low-Dimensional Man,Gaussian Process Latent Variable Models for Manifold Learning,Gaussian Process Classification using Latent Variable Models,Discriminative Latent Variables for Gaussian Process Classification,A Discriminative Latent Space Model for Supervised Process Classification
200,"In this paper, we propose to learn word embeddings based on the recent fixed-size ordinally forgetting encoding (FOFE) method, which can almost uniquely encode any variable-length sequence into a fixed-size representation. We use FOFE to fully encode the left and right context of each word in a corpus to construct a novel word-context matrix, which is further weighted and factorized using truncated SVD to generate low-dimension word embedding vectors. We evaluate this alternate method in encoding word-context statistics and show the new FOFE method has a notable effect on the resulting word embeddings. Experimental results on several popular word similarity tasks have demonstrated that the proposed method outperforms other SVD models that use canonical count based techniques to generate word context matrices.",Word Embeddings based on Fixed-Size Ordinally Forgetting Encoding,Learning Word Embeddings Based on Ordinally Forgetting Encoding,,Learning Word Embeddings Based on Fixed-Size Ordinally Forgetting Encoding,Learning Word Embeddings Using Fixed-Size Ordinally forgetting Encoding,Learning Word Embeddings with Fixed-Size Ordinally Forgetting Encoding,Learning Word Embeddings Based on Fixed-Size Ordinally Forgetting Parser
201,"This study aims at identifying when an event written in text occurs. In particular, we classify a sentence for an event into four time-slots; morning, daytime, evening, and night. To realize our goal, we focus on expressions associated with time-slot (time-associated words). However, listing up all the time-associated words is impractical, because there are numerous time-associated expressions. We therefore use a semi-supervised learning method, the Naïve Bayes classifier backed up with the Expectation Maximization algorithm, in order to iteratively extract time-associated words while improving the classifier. We also propose to use Support Vector Machines to filter out noisy instances that indicates no specific time period. As a result of experiments, the proposed method achieved 0.864 of accuracy and outperformed other methods.",Time Period Identification of Events in Text,Identifying Time-Affected Words Using Naïve Bayes Classifiers,Semi-supervised Learning for Time-Associative Event Classification using Naïve Bayes Classifier and Expectation Maximization,,A Semi-Supervised Learning Method for Identifying Time-Slot Events,Naive Bayes Classifier for Time-Slots,Time-Slave Event Classification Using Expectation Maximization
202,"Recent work has improved our ability to detect linguistic knowledge in word representations. However, current methods for detecting syntactic knowledge do not test whether syntax trees are represented in their entirety. In this work, we propose a structural probe, which evaluates whether syntax trees are embedded in a linear transformation of a neural network's word representation space. The probe identifies a linear transformation under which squared L2 distance encodes the distance between words in the parse tree, and one in which squared L2 norm encodes depth in the parse tree. Using our probe, we show that such transformations exist for both ELMo and BERT but not in baselines, providing evidence that entire syntax trees are embedded implicitly in deep models' vector geometry.",A Structural Probe for Finding Syntax in Word Representations,Detecting Syntactic Knowledge in Neural Network Word Representations,A Structural Probabilistic Investigation of Syntax Trees are Embedding Implicitly in Neural Network's Word Represent,,Detecting Linguistic Knowledge in Word Representation Spaces,A Structural Investigation of Syntax Trees in Neural Networks,A Structural Investigation of Syntax in Neural Word Representations
203,"The aim of all Question Answering (QA) systems is to generalize to unseen questions. Current supervised methods are reliant on expensive data annotation. Moreover, such annotations can introduce unintended annotator bias, making systems focus more on the bias than the actual task. This work proposes Knowledge Triplet Learning (KTL), a self-supervised task over knowledge graphs. We propose heuristics to create synthetic graphs for commonsense and scientific knowledge. We propose using KTL to perform zero-shot question answering, and our experiments show considerable improvements over large pre-trained transformer language models.",Self-Supervised Knowledge Triplet Learning for Zero-Shot Question Answering,Knowledge Triplet Learning for Question Answering over Knowledge Graphs,Knowledge Triplet Learning for Zero-shot Question Answering: Improving Answer Generation by Knowledge Graphs over Knowledge Graph,Knowledge Triplet Learning for Zero-Shot Question Answering,,Knowledge Triplet Learning for Commonsense Question Answering,Knowledge Triplet Learning for Zero-Shot Question Answering
