,abstract,title,bart_base,bart_cnn,bart_xsum,t5_small,gpt2,pegasus_xsum
101,"Supervised and semi-supervised sense disambiguation methods will mis-tag the instances of a target word if the senses of these instances are not defined in sense inventories or there are no tagged instances for these senses in training data. Here we used a model order identification method to avoid the misclassification of the instances with undefined senses by discovering new senses from mixed data (tagged and untagged corpora). This algorithm tries to obtain a natural partition of the mixed data by maximizing a stability criterion defined on the classification result from an extended label propagation algorithm over all the possible values of the number of senses (or sense number, model order). Experimental results on SENSEVAL-3 data indicate that it outperforms SVM, a one-class partially supervised classification algorithm, and a clustering based model order identification algorithm when the tagged data is incomplete.",Partially Supervised Sense Disambiguation by Learning Sense Number from Tagged and Untagged Corpora,Supervised and Semi-Supervised Sense Disambiguation Using Model Order Identification,Semi-Supervised and Semi-supervised Sense Disambiguation using Label Propagation and Clustering Based,Model Order Identification for Sense Disambiguation with Mixed Data,Model Order Identification for Undefined Sentiment Disambiguation,,Model Order Identification for Semi-Supervised and Fully-Supervised Sense Annotation
102,"Classification of temporal textual data sequences is a common task in various domains such as social media and the Web. In this paper we propose to use Hawkes Processes for classifying sequences of temporal textual data, which exploit both temporal and textual information. Our experiments on rumour stance classification on four Twitter datasets show the importance of using the temporal information of tweets along with the textual content.",Hawkes Processes for Continuous Time Sequence Classification: an Application to Rumour Stance Classification in Twitter,Classifying Temporal Textual Data Using Hawkes Processes,Hawkes Processes for Classifying Temporal Textual Data Using Rumour Stance Classification of Social Media and the World Wide Web,Using Hawkes Processes to Classify Temporal Textual Data Sequences for Twitter Rumour Stance Classification,Hawkes Processes for Classifying Temporal Textual Data Sequences,,Hawkes Processes for Classification of Temporal Textual Data
103,"Lexical embeddings can serve as useful representations for words for a variety of NLP tasks, but learning embeddings for phrases can be challenging. While separate embeddings are learned for each word, this is infeasible for every phrase. We construct phrase embeddings by learning how to compose word embeddings using features that capture phrase structure and context. We propose efficient unsupervised and task-specific learning objectives that scale our model to large datasets. We demonstrate improvements on both language modeling and several phrase semantic similarity tasks with various phrase lengths. We make the implementation of our model and the datasets available for general use.",Learning Composition Models for Phrase Embeddings,Learning Phrase Embeddings by Composing Word Representations for NLP,Unsupervised Learning of Phrase Embeddings for NLP Tasks using Word Structure and Context from Large Datasets,Unsupervised Learning of Phrase Embedding Representations,, Unsupervised Learning of Phrase Embeddings,Learning Word Embeddings for Phrase Structure and Context
104,"We investigate grounded sentence representations, where we train a sentence encoder to predict the image features of a given caption-i.e., we try to ""imagine"" how a sentence would be depicted visually-and use the resultant features as sentence representations. We examine the quality of the learned representations on a variety of standard sentence representation quality benchmarks, showing improved performance for grounded models over non-grounded ones. In addition, we thoroughly analyze the extent to which grounding contributes to improved performance, and show that the system also learns improved word embeddings.",Learning Visually Grounded Sentence Representations,Grounded Sentence Representations and Improved Word Embeddings,,Grounded Sentence Representations: An Empirical Comparison of Image Features and Word Embeddings,Structural Sentence Representations Using Sentence Encoding, Learning Grounded Sentence Representations,Grounded Sentence Representations: An Investigation
105,"Currently, almost all of the statistical machine translation (SMT) models are trained with the parallel corpora in some specific domains. However, when it comes to a language pair or a different domain without any bilingual resources, the traditional SMT loses its power. Recently, some research works study the unsupervised SMT for inducing a simple word-based translation model from the monolingual corpora. It successfully bypasses the constraint of bitext for SMT and obtains a relatively promising result. In this paper, we take a step forward and propose a simple but effective method to induce a phrase-based model from the monolingual corpora given an automatically-induced translation lexicon or a manually-edited translation dictionary. We apply our method for the domain adaptation task and the extensive experiments show that our proposed method can substantially improve the translation quality.",Learning a Phrase-based Translation Model from Monolingual Data with Application to Domain Adaptation,An Unsupervised Method for Domain Adaptation in Statistical Machine Translation,Unsupervised SMT Induction of Phrase-Based Translation Models from Monolingual Corpora with Application to Domain Adaptation,Unsupervised Unfolding of Phrase-based Translation Model for Domain Adaptation,Inducing a Simple Word-Based Translation Model from the Monolingual Corpora, Unsupervised Phrase-Based Translation Model for Domain Adaptation,
106,"Procedurally generating cohesive and interesting game environments is challenging and time-consuming. In order for the relationships between the game elements to be natural, common-sense has to be encoded into arrangement of the elements. In this work, we investigate a machine learning approach for world creation using content from the multiplayer text adventure game environment LIGHT (Urbanek et al. 2019). We introduce neural network based models to compositionally arrange locations, characters, and objects into a coherent whole. In addition to creating worlds based on existing elements, our models can generate new game content. Humans can also leverage our models to interactively aid in worldbuilding. We show that the game environments created with our approach are cohesive, diverse, and preferred by human evaluators compared to other machine learning based world construction algorithms.",Generating Interactive Worlds with Text,Learning to Generate Cohesive and Efficient Games using Content from Online Games,Learning to Generate Cohesive Games Using Neural Network-based Content from the Online World-Building Task in Multi-player Text,,Machine Learning for World Creation using Multiplayer Text Adventure Game Environments, Cohesive and Interesting World Creation Using Neural Networks,Multiplayer Text Adventure Games with Compositional Neural Networks
107,"Character-based neural machine translation (NMT) models alleviate out-ofvocabulary issues, learn morphology, and move us closer to completely end-toend translation systems. Unfortunately, they are also very brittle and easily falter when presented with noisy data. In this paper, we confront NMT models with synthetic and natural sources of noise. We find that state-of-the-art models fail to translate even moderately noisy texts that humans have no trouble comprehending. We explore two approaches to increase model robustness: structure-invariant word representations and robust training on noisy texts. We find that a model based on a character convolutional neural network is able to simultaneously learn representations robust to multiple kinds of noise.",Synthetic and Natural Noise Both Break Neural Machine Translation,Character-Based Neural Machine Translation with Noisy Texts,Character-Based Neural Machine Translation with Synthetic and Natural Sources of Noise: A Case Study on Noisy Texts in N,Robust Neural Machine Translation with Synthetic and Natural Sources of Noisy Data,Robust Character-Based Neural Machine Translation,,Character-Based Neural Machine Translation Fails to Translate Noisy Texts
108,"We show that for a general class of convex online learning problems, Mirror Descent can always achieve a (nearly) optimal regret guarantee.",On the Universality of Online Mirror Descent,Optimal Regret Guarantees for Mirror Descent,Online Mirror Descent: Almost Optimal Regret Guarantee Guarantees for Convex Online Learning with Limited Supervision.,Optimal Regret Guarantees for Mirror Descent,, Optimal Regret Guarantees for Mirror Descent,Mirror Descent can always achieve an optimal regret guarantee
109,"We introduce DropConnect, a generalization of Dropout (Hinton et al., 2012), for regularizing large fully-connected layers within neural networks. When training with Dropout, a randomly selected subset of activations are set to zero within each layer. DropConnect instead sets a randomly selected subset of weights within the network to zero. Each unit thus receives input from a random subset of units in the previous layer. We derive a bound on the generalization performance of both Dropout and DropConnect. We then evaluate DropConnect on a range of datasets, comparing to Dropout, and show state-of-the-art results on several image recognition benchmarks by aggregating multiple DropConnect-trained models.",Regularization of Neural Networks using DropConnect,DropConnect: A Generalization of Dropout for Regularizing Neural Networks,DropConnect: Regularizing Fully-Connected Networks via Randomized Subset Selection and Multiple Drop-Connecting Data Aggregation,DropConnect: A Generalization of Dropout for Fully-Connected Neural Networks,DropConnect: A Generalization of Dropout in Neural Networks,,Dropout Meets DropConnect: Regularizing Fully-Connected Neural Networks
110,"We describe a synchronous parsing algorithm that is based on two successive monolingual parses of an input sentence pair. Although the worst-case complexity of this algorithm is and must be O(n) for binary SCFGs, its average-case run-time is far better. We demonstrate that for a number of common synchronous parsing problems, the two-parse algorithm substantially outperforms alternative synchronous parsing strategies, making it efficient enough to be utilized without resorting to a pruned search.",Two monolingual parses are better than one (synchronous parse),,A Two-Parallel Synchronous Parsing Algorithm Based on Successive Monolingual Parsing and Pruned Search,Efficient Synchronous Parsing with Two Monolingual Parses,A Two-Parse Synchronous Parsing Algorithm for Binary SCFG, A Synchronous Parser Based on Two successive Monolingual Parses,Efficient Synchronous Parsing with Two Syntactic Monolingual Parses
111,"We present a novel technique for semantic frame identification using distributed representations of predicates and their syntactic context; this technique leverages automatic syntactic parses and a generic set of word embeddings. Given labeled data annotated with frame-semantic parses, we learn a model that projects the set of word representations for the syntactic context around a predicate to a low dimensional representation. The latter is used for semantic frame identification; with a standard argument identification method inspired by prior work, we achieve state-ofthe-art results on FrameNet-style framesemantic analysis. Additionally, we report strong results on PropBank-style semantic role labeling in comparison to prior work.",Semantic Frame Identification with Distributed Word Representations,Semantic Frame Identification with Distributed Representations of Predicates and their Syntactic Context,Semantic Frame Identification using Syntactic and Semantic Representations of Predicates and their Syntactic Context Using Word Embeddings,Semantic Frame Identification Using Distributed Representations of Predicates and their Syntactic Context,Semantic Frame Identification with Distributed Representations of Predicates and Their Syntactic Context, Semantic Frame Identification Using Distributional Representations,
112,"This paper investigates contextual word representation models from the lens of similarity analysis. Given a collection of trained models, we measure the similarity of their internal representations and attention. Critically, these models come from vastly different architectures. We use existing and novel similarity measures that aim to gauge the level of localization of information in the deep models, and facilitate the investigation of which design factors affect model similarity, without requiring any external linguistic annotation. The analysis reveals that models within the same family are more similar to one another, as may be expected. Surprisingly, different architectures have rather similar representations, but different individual neurons. We also observed differences in information localization in lower and higher layers and found that higher layers are more affected by fine-tuning on downstream tasks.",Similarity Analysis of Contextual Word Representation Models,,Similarity Analysis of Contextual Word Representations: A Case Study on Information Localization in the Lens of Similarity Analysis.,Similarity Analysis of Contextual Word Representations in Deep Learning,Similarity Measures for Contextual Word Representations, Contextual Word Representation Models,Comparing Neural Architectures of Contextual Word Representations
113,"Categorial grammar has traditionally used the λ-calculus to represent meaning. We present an alternative, dependency-based perspective on linguistic meaning and situate it in the computational setting. This perspective is formalized in terms of hybrid logic and has a rich yet perspicuous propositional ontology that enables a wide variety of semantic phenomena to be represented in a single meaning formalism. Finally, we show how we can couple this formalization to Combinatory Categorial Grammar to produce interpretations compositionally.",Coupling CCG and Hybrid Logic Dependency Semantics,Synthesizing Semantic Phenomena in Categorial Grammar,,Dependency-Based Categorial Grammar with Hybrid Logic,Combinatory Categorial Grammar: A Dependency-Based Perspective on Language Meaning, Compositional Semantics with Hybrid Logic and Situated Inference,Dependency-based Categorial Grammars
114,"Recently, work in NLP was initiated on a type of opinion inference that arises when opinions are expressed toward events which have positive or negative effects on entities (+/-effect events). This paper addresses methods for creating a lexicon of such events, to support such work on opinion inference. Due to significant sense ambiguity, our goal is to develop a sense-level rather than word-level lexicon. To maximize the effectiveness of different types of information, we combine a graph-based method using WordNet1 relations and a standard classifier using gloss information. A hybrid between the two gives the best results. Further, we provide evidence that the model is an effective way to guide manual annotation to find +/-effect senses that are not in the seed set.",+/-EffectWordNet: Sense-level Lexicon Acquisition for Opinion Inference,A Sense-Level Lexicon for Opinion Inference in NLP,A Sense-Level Lexicon of Events Using WordNet1 Relations and Gloss Information for Opinion Inference on Entities +/-,A Graph-based Lexicon of +/--Effect Events,, A Sense-Level Lexicon for Opinion Inference,A Sense-Level Lexicon for Opinion Inference
115,"Subjectivity word sense disambiguation (SWSD) is automatically determining which word instances in a corpus are being used with subjective senses, and which are being used with objective senses. SWSD has been shown to improve the performance of contextual opinion analysis, but only on a small scale and using manually developed integration rules. In this paper, we scale up the integration of SWSD into contextual opinion analysis and still obtain improvements in performance, by successfully gathering data annotated by non-expert annotators. Further, by improving the method for integrating SWSD into contextual opinion analysis, even greater benefits from SWSD are achieved than in previous work. We thus more firmly demonstrate the potential of SWSD to improve contextual opinion analysis.",Improving the Impact of Subjectivity Word Sense Disambiguation on Contextual Opinion Analysis,,Integrating Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis: A Case Study on Non-Expert Annotations,Scaling up Subjectivity Word Sense Disambiguation for Contextual Opinion Analysis,Integrated Subjectivity Word Sentiment Disambiguation into Contextual Opinion Analysis, Improving Contextual Opinion Analysis Using Word Sense Disambiguation,Scaling up Subjectivity Word Sense Disambiguation into Contextual Opinion Analysis
116,"Task-oriented dialog systems increasingly rely on deep learning-based slot filling models, usually needing extensive labeled training data for target domains. Often, however, little to no target domain training data may be available, or the training and target domain schemas may be misaligned, as is common for web forms on similar websites. Prior zero-shot slot filling models use slot descriptions to learn concepts, but are not robust to misaligned schemas. We propose utilizing both the slot description and a small number of examples of slot values, which may be easily available, to learn semantic representations of slots which are transferable across domains and robust to misaligned schemas. Our approach outperforms state-of-the-art models on two multi-domain datasets, especially in the low-data setting.",Robust Zero-Shot Cross-Domain Slot Filling with Example Values,Robust Zero-Shot Slot Filling for Task-Oriented Dialog Systems,Robust and Robust Slot Filling for Task-Oriented Dialog Systems with Zero-shot Modeling of Sem,,Learning Semantic Representations of Slots for Task-oriented Dialogue Systems, Learning Semantic Representations of Slots,Learning Semantic Representations of Slot Filling Models for Task-Oriented Dialog Systems
117,"Word sense induction (WSI) seeks to automatically discover the senses of a word in a corpus via unsupervised methods. We propose a sense-topic model for WSI, which treats sense and topic as two separate latent variables to be inferred jointly. Topics are informed by the entire document, while senses are informed by the local context surrounding the ambiguous word. We also discuss unsupervised ways of enriching the original corpus in order to improve model performance, including using neural word embeddings and external corpora to expand the context of each data instance. We demonstrate significant improvements over the previous state-of-the-art, achieving the best results reported to date on the SemEval-2013 WSI task.",A Sense-Topic Model for Word Sense Induction with Unsupervised Data Enrichment,A Sense-Topic Model for Word Sense Induction,Joint Sense-Topic Modeling for Unsupervised Word Sense Induction with Latent Variables and Neural Word Embedd,A Joint Latent Variable Model for Unsupervised Word Sense Induction,A Sense-topic Model for Word Sensitive Induction,,A Sense-topic Model for Word Sense Induction
118,"Rumours on social media exhibit complex temporal patterns. This paper develops a model of rumour prevalence using a point process, namely a log-Gaussian Cox process, to infer an underlying continuous temporal probabilistic model of post frequencies. To generalize over different rumours, we present a multi-task learning method parametrized by the text in posts which allows data statistics to be shared between groups of similar rumours. Our experiments demonstrate that our model outperforms several strong baseline methods for rumour frequency prediction evaluated on tweets from the 2014 Ferguson riots.",Point Process Modelling of Rumour Dynamics in Social Media,A Probabilistic Model of rumour prevalence based on a Point Process,A Probabilistic Model of Rumour Frequency Prediction Using Log-Gaussian Cox Processes and Multi-Task Learning in Social,,A Multi-Task Learning Model of rumour prevalence on social media, Rumour Frequency Modeling Using Log-Gaussian Processes,A Multi-Task Learning Approach to Predicting the Frequency of Rumours on Social Media
119,"We study agnostic active learning, where the goal is to learn a classifier in a prespecified hypothesis class interactively with as few label queries as possible, while making no assumptions on the true function generating the labels. The main algorithm for this problem is disagreement-based active learning, which has a high label requirement. Thus a major challenge is to find an algorithm which achieves better label complexity, is consistent in an agnostic setting, and applies to general classification problems. In this paper, we provide such an algorithm. Our solution is based on two novel contributions; first, a reduction from consistent active learning to confidence-rated prediction with guaranteed error, and second, a novel confidence-rated predictor.",Beyond Disagreement-Based Agnostic Active Learning,Agnostic Active Learning with Confidence-Ranking Prediction,Agnostic Active Learning: Confidence-Rate Prediction and Consistency of Label Complexity in an Agnostic Hypothesis,Agnostic Active Learning with Confidence-rated Prediction,Agnostic Active Learning with Disagreement-Based Models, Agnostic Active Learning,
120,"Deep reinforcement learning (RL) agents often fail to generalize to unseen environments (yet semantically similar to trained agents), particularly when they are trained on high-dimensional state spaces, such as images. In this paper, we propose a simple technique to improve a generalization ability of deep RL agents by introducing a randomized (convolutional) neural network that randomly perturbs input observations. It enables trained agents to adapt to new domains by learning robust features invariant across varied and randomized environments. Furthermore, we consider an inference method based on the Monte Carlo approximation to reduce the variance induced by this randomization. We demonstrate the superiority of our method across 2D CoinRun, 3D DeepMind Lab exploration and 3D robotics control tasks: it significantly outperforms various regularization and data augmentation methods for the same purpose. Code is available at github.com/pokaxpoka/netrand.",Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,Randomization and Adaptation of Deep Reinforcement Learning,Pokaxpoka: Randomized Deep Reinforcement Learning with Robust Features Invariant Across Diverse and Randomized Environments,Randomized Deep Reinforcement Learning with Monte Carlo Inference,A Randomized Neural Network for Deep Reinforcement Learning,,Randomized Convolutional Neural Networks for Deep Reinforcement Learning
121,"In this paper, we improve an unsupervised learning method using the ExpectationMaximization (EM) algorithm proposed by Nigam et al. for text classification problems in order to apply it to word sense disambiguation (WSD) problems. The improved method stops the EM algorithm at the optimum iteration number. To estimate that number, we propose two methods. In experiments, we solved 50 noun WSD problems in the Japanese Dictionary Task in SENSEVAL2. The score of our method is a match for the best public score of this task. Furthermore, our methods were confirmed to be effective also for verb WSD problems.",Unsupervised learning of word sense disambiguation rules by estimating an optimum iteration number in the EM algorithm,Improving Unsupervised Learning for Noun Word Sense Disambiguation Problems,Improving Word Sense Disambiguation Using ExpectationMaximization and EM Algorithm for Japanese Dictionary Task in Sense,Unsupervised Word Sense Disambiguation Using Expectation Maximization Algorithm,, Improving Word Sense Disambiguation Using Expectation Maximization,An Improved EM Method for Unsupervised Word Sense Disambiguation
122,"Machine learning promises methods that generalize well from finite labeled data. However, the brittleness of existing neural net approaches is revealed by notable failures, such as the existence of adversarial examples that are misclassified despite being nearly identical to a training example, or the inability of recurrent sequence-processing nets to stay on track without teacher forcing. We introduce a method, which we refer to as state reification, that involves modeling the distribution of hidden states over the training data and then projecting hidden states observed during testing toward this distribution. Our intuition is that if the network can remain in a familiar manifold of hidden space, subsequent layers of the net should be well trained to respond appropriately. We show that this state-reification method helps neural nets to generalize better, especially when labeled data are sparse, and also helps overcome the challenge of achieving robust generalization with adversarial training.",State-Reification Networks: Improving Generalization by Modeling the Distribution of Hidden Representations,State Reification for Robust Generalization in Neural Networks,State Reification for Robust Neural Net Generalization with Adversarial Training of Finite-Labeled Data via Hidden State,,State Reification for Neural Nets to Generalize, State Reification for Neural Networks,State Reification for Robust Neural Nets
123,"We address fine-grained multilingual language identification: providing a language code for every token in a sentence, including codemixed text containing multiple languages. Such text is prevalent online, in documents, social media, and message boards. We show that a feed-forward network with a simple globally constrained decoder can accurately and rapidly label both codemixed and monolingual text in 100 languages and 100 language pairs. This model outperforms previously published multilingual approaches in terms of both accuracy and speed, yielding an 800x speed-up and a 19.5% averaged absolute gain on three codemixed datasets. It furthermore outperforms several benchmark systems on monolingual language identification.","A Fast, Compact, Accurate Model for Language Identification of Codemixed Text",Multilingual Language Identification with a Global Constrained Decoder,,Fine-Grained Multilingual Language Identification with a Feed-Forward Network,Multilingual Language Identification with Feed-forward Networks, Fine-Grained Multilingual Language Identification,Fine-Grained Multilingual Language Identification
124,"We propose a generalized bootstrapping algorithm in which categories are described by relevant seed features. Our method introduces two unsupervised steps that improve the initial categorization step of the bootstrapping scheme: (i) using Latent Semantic space to obtain a generalized similarity measure between instances and features, and (ii) the Gaussian Mixture algorithm, to obtain uniform classification probabilities for unlabeled examples. The algorithm was evaluated on two Text Categorization tasks and obtained state-of-theart performance using only the category names as initial seeds.",Investigating Unsupervised Learning for Text Categorization Bootstrapping,Unsupervised Bootstrapping of Text Categorization Using Latent Semantic Space,A Generalized Bootstrapping Algorithm for Text Categorization Using Latent Semantic Space and Application to Unsupervised,Unsupervised Bootstrapping of Text Categories Using Latent Semantic Space and Gaussian Mixture,A Generalized Bootstrapping Algorithm, Generalized Bootstrapping for Text Categorization,
125,"Datasets annotated with semantic roles are an important prerequisite to developing highperformance role labeling systems. Unfortunately, the reliance on manual annotations, which are both difficult and highly expensive to produce, presents a major obstacle to the widespread application of these systems across different languages and text genres. In this paper we describe a method for inducing the semantic roles of verbal arguments directly from unannotated text. We formulate the role induction problem as one of detecting alternations and finding a canonical syntactic form for them. Both steps are implemented in a novel probabilistic model, a latent-variable variant of the logistic classifier. Our method increases the purity of the induced role clusters by a wide margin over a strong baseline.",Unsupervised Induction of Semantic Roles,Inducing Semantic Roles from Text for Semantic Role Labeling,,A Probabilistic Model for Semantic Role Induction from Unannotated Text,Inducing Semantic Role Clusters with Manual Annotations, Inducing Semantic Roles from Unannotated Text,Inducing Semantic Roles of Verbal Arguments from Unannotated Text
126,"In a recent LastWords column (Sproat 2010), Richard Sproat laments the reviewing practices of “general science journals” after dismissing our work and that of Lee, Jonathan, and Ziman (2010) as “useless” and “trivially and demonstrably wrong.” Although we expect such categorical statements to have already raised some red flags in the minds of readers, we take this opportunity to present a more accurate description of our work, point out the straw man argument used in Sproat (2010), and provide a more complete characterization of the Indus script debate. A separate response by Lee and colleagues in this issue provides clarification of issues not covered here.","Commentary and Discussion: Entropy, the Indus Script, and Language: A Reply to R. Sproat",Last Words: An Analysis of the Reviewing Practice of General Science Journal,LastWords: The LastWords Column (Sproat 2010) - An Accurate Description of the Indus Script Debate in Science,,The Indus script debate in LastWords, Last Words: The Last Words Newsletter,Last Words: Correcting the Errors of Richard Sproat
127,"We take up the scientific question of what determines the preferred order of adjectives in English, in phrases such as big blue box where multiple adjectives modify a following noun. We implement and test four quantitative theories, all of which are theoretically motivated in terms of efficiency in human language production and comprehension. The four theories we test are subjectivity (Scontras et al., 2017), information locality (Futrell, 2019), integration cost (Dyer, 2017), and information gain, which we introduce. We evaluate theories based on their ability to predict orders of unseen adjectives in hand-parsed and automatically-parsed dependency treebanks. We find that subjectivity, information locality, and information gain are all strong predictors, with some evidence for a two-factor account, where subjectivity and information gain reflect a factor involving semantics, and information locality reflects collocational preferences.",What determines the order of adjectives in English? Comparing efficiency-based theories using dependency treebanks,Predicting Order of Unseen Adjectives in English,"Subjectivity, Information Gain, and Lexical Complexity: The Case of Adjective Ordering in English-to-",What determines the order of adjectives in English phrases such as big blue box?,"Subjectivity, Information Locality, and Information Gain in English",,What Makes for Good Adjectives? A Case Study in English
128,"We describe a new algorithm for computing a Nash equilibrium in graphical games, a compact representation for multi-agent systems that we introduced in previous work. The algorithm is the first to compute equilibria both efficiently and exactly for a non-trivial class of graphical games.","An Efficient, Exact Algorithm for Solving Tree-Structured Graphical Games",,Nash Equilibria in Multi-Agent Systems: A Nash Equilibrium Algorithm for Graphical Games and Applications to Multi,Efficient Nash Equilibria for Multi-Agent Games,A Compact Algorithm for Computing Nash Equilibria in Graphical Games, Computing Equilibria in Graphical Games with Compact Representations,Computing Nash Equilibria in Multi-Agent Games
129,"We investigate a new optimization problem involving minimizing the Ratio of two Submodular (RS) functions. We argue that this problem occurs naturally in several real world applications. We then show the connection between this problem and several related problems including minimizing the difference between submodular functions (Iyer & Bilmes, 2012b; Narasimhan & Bilmes, 2005), and to submodular optimization subject to submodular constraints (Iyer & Bilmes, 2013). We show that RS optimization can be solved with bounded approximation factors. We also provide a hardness bound and show that our tightest algorithm matches the lower bound up to a log factor. Finally, we empirically demonstrate the performance and good scalability properties of our algorithms.",Algorithms for Optimizing the Ratio of Submodular Functions,Submodular Ratio Minimization via Bounded Approximation,Tight Bounds for Minimizing Ratio of Two Submodular Functions: Tightness Bounds and Scalable Algorith,Minimizing the Ratio of Two Submodular Functions,, Submodular Optimization with Bounded Approximation,Bridging the Gap Between Submodular Functions: A New Problem and Algorithms
130,"This paper presents a first-order logic learning approach to determine rhetorical relations between discourse segments. Beyond linguistic cues and lexical information, our approach exploits compositional semantics and segment discourse structure data. We report a statistically significant improvement in classifying relations over attribute-value learning paradigms such as Decision Trees, RIPPER and Naive Bayes. For discourse parsing, our modified shift-reduce parsing model that uses our relation classifier significantly outperforms a right-branching majority-class baseline.",An effective Discourse Parser that uses Rich Linguistic Information,Exploiting Compositional Semantics and Discourse Structure Data for Rhetorical Relations,A Logic Learning Approach to Determine Rhetorical Relations between Discourse Segments with Compositional Semantics and Discourse Structure,First-Order Logic Learning for Discourse Relation Classification,First-Order Logical Learning for Rhetorical Relation Classification, Modeling Discourse Structure with Compositional Semantics,
131,"Website privacy policies represent the single most important source of information for users to gauge how their personal data are collected, used and shared by companies. However, privacy policies are often vague and people struggle to understand the content. Their opaqueness poses a significant challenge to both users and policy regulators. In this paper, we seek to identify vague content in privacy policies. We construct the first corpus of human-annotated vague words and sentences and present empirical studies on automatic vagueness detection. In particular, we investigate context-aware and context-agnostic models for predicting vague words, and explore auxiliary-classifier generative adversarial networks for characterizing sentence vagueness. Our experimental results demonstrate the effectiveness of proposed approaches. Finally, we provide suggestions for resolving vagueness and improving the usability of privacy policies.",Automatic Detection of Vague Words and Sentences in Privacy Policies,Identifying Inconsistently Grown Words and Sentences in Privacy Policies,Identifying vague content in private policies for detecting vague words and sentences using auxiliary-classifier generative adversarial networks.,,Context-Aware and Context-Agnostic Models for Detecting Vague Content in Privacy Policies, Identifying Discrete Words and Sentences in Privacy Policies,Detecting and Improving the User Experience of Privacy Policies
132,"We study a novel architecture for syntactic SMT. In contrast to the dominant approach in the literature, the system does not rely on translation rules, but treat translation as an unconstrained target sentence generation task, using soft features to capture lexical and syntactic correspondences between the source and target languages. Target syntax features and bilingual translation features are trained consistently in a discriminative model. Experiments using the IWSLT 2010 dataset show that the system achieves BLEU comparable to the state-of-the-art syntactic SMT systems.",Syntactic SMT Using a Discriminative Text Generation Model,A Discriminative Target Sentence Generation System for Syntactic Statistical Machine Translation,A Novel Architecture for Syntactic Machine Translation with BLEU-based Syntax Features and Bilingual Translation Features from IW,Syntactic SMT with Bilingual Translation Features,, Syntactic Syntactic SMT with Soft Features,Syntactic Machine Translation with Soft Syntax Features
133,"Distant supervision usually utilizes only unlabeled data and existing knowledge bases to learn relation extraction models. However, in some cases a small amount of human labeled data is available. In this paper, we demonstrate how a state-of-theart multi-instance multi-label model can be modified to make use of these reliable sentence-level labels in addition to the relation-level distant supervision from a database. Experiments show that our approach achieves a statistically significant increase of 13.5% in F-score and 37% in area under the precision recall curve.",Infusion of Labeled Data into Distant Supervision for Relation Extraction,Relation-Level Distant Supervision with Relation Extraction Models,Multi-Instance Distant Supervision for Relation Extraction with Application to Sentence-Level Relation Level Relation Classification,Learning Relation Extraction from Distant Supervision with Multi-Instance Multi-label Models,Multi-Instance Multi-Label Models for Distant Supervision, Improving Distant Supervision for Relation Extraction,
134,"Information Gain is a well-known and empirically proven method for high-dimensional feature selection. We found that it and other existing methods failed to produce good results on an industrial text classification problem. On investigating the root cause, we find that a large class of feature scoring methods suffers a pitfall: they can be blinded by a surplus of strongly predictive features for some classes, while largely ignoring features needed to discriminate difficult classes. In this paper we demonstrate this pitfall hurts performance even for a relatively uniform text classification task. Based on this understanding, we present solutions inspired by round-robin scheduling that avoid this pitfall, without resorting to costly wrapper methods. Empirical evaluation on 19 datasets shows substantial improvements.",A Pitfall and Solution in Multi-Class Feature Selection for Text Classification ,Applying Round-robin Scheduling to Information Gain for Text Classification,Information Gain: High-dimensional feature selection for text classification using round-robin Scheduling and Pitfall Problem Solving Problems,Round-robin Scheduling for High-Dimensional Feature Selection in Text Classification,Round-robin Scheduling for High-dimensional Feature Selection, A Pitfall-Free Approach to Feature Selection for Text Classification,
135,"Knowledge bases are useful resources for many natural language processing tasks, however, they are far from complete. In this paper, we define a novel entity representation as a mixture of its neighborhood in the knowledge base and apply this technique on TransE—a well-known embedding model for knowledge base completion. Experimental results show that the neighborhood information significantly helps to improve the results of the TransE, leading to better performance than obtained by other state-of-the-art embedding models on three benchmark datasets for triple classification, entity prediction and relation prediction tasks.",Neighborhood Mixture Model for Knowledge Base Completion,,Neighborhood Representations for Knowledge Base Completion: A Mixture of Its Neighborhood in the Knowledge Base and TransE Model,Neighborhood Information Improves TransE: A Knowledge Base Completion Model,TransE: Embedding Neighborhoods for Knowledge Base completion, Entity Representations for Knowledge Base Completion,A Novel Entity Representation as a mixture of its neighborhood in knowledge base
136,"Interacting with relational databases through natural language helps users with any background easily query and analyze a vast amount of data. This requires a system that understands users' questions and converts them to SQL queries automatically. In this paper, we present a novel approach TypeSQL which formats the problem as a slot filling task in a more reasonable way. In addition, TypeSQL utilizes type information to better understand rare entities and numbers in the questions. We experiment this idea on the WikiSQL dataset and outperform the prior art by 6% in much shorter time. We also show that accessing the content of databases can significantly improve the performance when users' queries are not well-formed. TypeSQL can reach 82.6% accuracy, a 17.5% absolute improvement compared to the previous content-sensitive model.",TypeSQL: Knowledge-Based Type-Aware Neural Text-to-SQL Generation,TypeSQL: A Slot Filling Approach to Interacting with Relational Databases,TypeSQL: Slot Filling for Relational Database Query Retrieval via Schema Type-SQL Formalization and Information,,TypeSQL: A Slot Filling Approach to Interacting with Relational Databases, TypeSQL: A Slot Filling Approach for Relational Databases,Type Interact: Learning to Interact with Natural Language via Slot Filling and Type Information
